ID,age,job,marital,default,returned,loan,coupon_used_in_last6_month,coupon_used_in_last_month,coupon_ind
1,43,management,married,no,yes,no,2,0,0
2,42,technician,divorced,no,yes,no,1,1,0
3,47,admin.,married,no,yes,yes,2,0,0
4,28,management,single,no,yes,yes,2,0,0
5,42,technician,divorced,no,yes,no,5,0,0
6,56,services,divorced,no,no,no,1,0,0
7,32,management,single,no,no,no,4,0,0
8,33,management,single,no,no,no,2,0,0
9,32,technician,single,no,yes,yes,3,0,0
10,55,management,married,no,no,yes,3,0,0
11,54,technician,married,no,no,no,1,0,0
12,59,retired,married,no,yes,yes,2,1,0
13,48,services,married,no,no,yes,2,0,0
14,54,retired,married,no,yes,no,2,0,0
15,53,management,married,no,no,no,1,0,0
16,30,services,single,no,yes,no,4,0,0
17,39,technician,divorced,no,yes,no,8,0,0
18,39,technician,married,no,no,no,4,0,0
19,59,retired,married,no,yes,yes,2,0,0
20,28,student,single,no,no,no,1,0,0
21,31,management,single,no,yes,no,1,1,0
22,28,management,married,no,yes,no,5,0,0
23,49,management,divorced,no,yes,no,1,0,0
24,25,blue-collar,married,no,yes,yes,2,0,0
25,44,technician,divorced,no,yes,no,9,0,0
26,43,blue-collar,married,no,yes,no,1,0,0
27,38,blue-collar,married,no,yes,no,3,0,0
28,35,management,married,no,no,no,1,0,0
29,31,admin.,married,no,yes,yes,1,0,0
30,40,management,single,no,yes,no,1,0,0
31,29,admin.,single,no,yes,no,10,0,0
32,41,management,married,no,yes,no,1,1,0
33,31,admin.,married,no,yes,no,4,0,0
34,28,blue-collar,single,no,yes,no,1,0,0
35,43,management,married,no,no,no,2,0,0
36,47,services,divorced,no,no,no,1,0,0
37,59,management,married,no,no,no,2,0,0
38,43,services,married,no,yes,no,2,0,0
39,25,management,single,no,no,no,2,0,0
40,55,blue-collar,married,no,no,no,5,0,0
41,56,unknown,married,no,no,no,4,0,0
42,57,retired,married,no,yes,no,1,1,0
43,48,blue-collar,married,no,no,no,2,0,0
44,48,blue-collar,married,no,no,no,6,0,0
45,27,blue-collar,single,no,no,no,1,0,0
46,46,services,divorced,no,yes,no,1,0,0
47,54,management,married,no,no,no,3,0,0
48,57,technician,married,no,no,no,1,0,0
49,50,technician,married,no,no,no,5,0,0
50,30,blue-collar,married,no,yes,no,1,0,0
51,33,management,single,no,yes,no,1,0,0
52,53,entrepreneur,married,no,no,no,1,0,0
53,36,management,single,no,no,no,4,0,0
54,25,technician,single,no,yes,no,3,0,0
55,31,blue-collar,married,no,yes,no,1,0,0
56,61,retired,married,no,no,no,1,0,0
57,61,management,single,no,no,no,3,0,0
58,48,management,married,no,yes,no,1,0,0
59,54,technician,married,no,yes,no,1,0,0
60,35,technician,single,no,yes,no,1,0,0
61,21,blue-collar,married,yes,no,no,2,0,0
62,56,management,married,no,no,no,2,0,0
63,53,management,divorced,no,no,yes,3,0,0
64,50,services,divorced,yes,no,yes,7,0,0
65,24,blue-collar,single,no,yes,no,1,0,0
66,43,blue-collar,married,no,yes,no,7,1,0
67,33,services,single,no,yes,no,2,0,0
68,26,technician,divorced,no,yes,yes,1,0,0
69,33,blue-collar,single,no,no,no,1,0,0
70,55,management,divorced,no,no,no,1,0,0
71,29,housemaid,married,no,yes,no,2,0,0
72,30,management,married,no,no,no,1,1,0
73,50,management,married,no,no,no,2,1,0
74,31,management,married,no,no,no,3,0,0
75,37,admin.,married,no,no,no,4,0,0
76,42,technician,married,no,no,no,2,0,0
77,40,self-employed,married,no,yes,no,1,1,0
78,42,services,married,no,yes,no,2,0,0
79,32,blue-collar,single,no,yes,no,1,0,0
80,43,services,divorced,no,yes,no,2,0,0
81,49,blue-collar,married,no,yes,no,1,0,0
82,47,blue-collar,married,no,yes,no,2,0,0
83,36,management,married,no,no,no,1,0,0
84,38,management,divorced,no,yes,no,3,0,0
85,25,technician,single,no,yes,no,5,0,0
86,53,unemployed,married,yes,yes,no,3,0,0
87,44,management,single,no,yes,yes,1,1,0
88,31,blue-collar,married,no,yes,no,6,0,0
89,37,admin.,married,no,yes,no,1,0,0
90,36,admin.,single,no,no,no,1,0,0
91,41,services,divorced,no,yes,no,2,0,0
92,54,unknown,divorced,no,yes,no,1,1,0
93,40,admin.,single,no,yes,yes,3,0,0
94,36,admin.,married,no,yes,yes,1,0,0
95,45,services,married,no,yes,no,1,0,0
96,31,services,married,no,yes,no,5,0,0
97,42,self-employed,married,no,yes,no,1,0,0
98,51,blue-collar,married,no,yes,no,3,0,0
99,39,technician,married,no,no,no,1,0,0
100,52,retired,married,no,yes,no,3,3,0
101,32,technician,married,no,yes,no,2,2,0
102,32,services,married,no,no,no,1,1,0
103,34,blue-collar,married,no,yes,yes,1,0,0
104,31,blue-collar,married,no,yes,no,3,0,0
105,43,management,married,no,no,no,2,0,0
106,33,blue-collar,married,no,yes,no,3,1,0
107,26,blue-collar,married,no,yes,no,1,0,0
108,46,blue-collar,married,no,no,no,2,0,0
109,43,blue-collar,married,no,yes,no,4,0,0
110,35,unemployed,married,no,yes,no,1,0,0
111,31,services,single,no,yes,no,1,0,0
112,58,retired,divorced,no,no,no,1,0,0
113,53,management,divorced,no,yes,no,2,0,0
114,31,admin.,single,no,no,no,1,0,0
115,74,retired,married,no,no,no,3,0,0
116,29,blue-collar,single,no,yes,no,1,1,0
117,34,blue-collar,single,no,yes,no,1,0,0
118,38,blue-collar,single,no,yes,no,4,0,0
119,60,retired,married,no,no,no,3,0,0
120,52,entrepreneur,married,no,no,no,2,0,0
121,29,technician,single,no,yes,no,1,0,0
122,39,blue-collar,married,no,yes,no,3,0,0
123,41,services,divorced,no,no,no,1,0,0
124,60,services,married,no,no,no,6,0,0
125,60,blue-collar,married,no,no,no,2,0,0
126,31,technician,single,no,no,no,4,0,0
127,38,services,married,no,yes,no,1,0,0
128,30,blue-collar,married,no,no,no,1,0,0
129,40,admin.,single,no,yes,no,2,0,0
130,57,retired,single,no,no,no,1,0,0
131,54,retired,divorced,no,yes,no,6,0,0
132,45,blue-collar,single,no,no,yes,2,0,0
133,41,technician,married,no,yes,yes,1,0,0
134,36,services,married,no,yes,no,2,0,0
135,48,services,married,no,no,no,1,0,0
136,24,technician,single,no,yes,no,2,2,0
137,51,technician,married,no,yes,no,3,0,0
138,35,management,single,no,no,no,10,0,0
139,43,admin.,married,no,no,no,12,0,0
140,52,self-employed,married,no,yes,no,2,0,0
141,46,unknown,married,no,yes,no,3,0,0
142,35,services,single,no,yes,no,1,1,0
143,24,services,single,no,yes,no,2,2,0
144,59,retired,married,no,no,no,7,0,0
145,57,entrepreneur,married,no,yes,no,7,0,0
146,26,blue-collar,single,no,no,no,2,0,0
147,31,technician,single,no,yes,no,1,0,0
148,53,management,married,no,yes,no,3,1,0
149,39,blue-collar,single,no,no,no,1,0,0
150,52,management,married,no,no,no,3,0,0
151,40,technician,married,no,no,no,1,0,0
152,37,technician,married,no,yes,no,5,0,0
153,52,services,divorced,no,yes,no,2,0,0
154,39,blue-collar,married,no,no,no,2,0,0
155,35,self-employed,single,no,yes,yes,9,0,0
156,40,admin.,single,no,no,no,2,2,0
157,35,admin.,married,no,no,no,3,0,0
158,31,blue-collar,married,no,yes,yes,5,5,0
159,31,admin.,married,no,yes,no,5,0,0
160,34,management,single,no,yes,yes,7,0,0
161,57,technician,married,no,yes,no,2,0,0
162,30,blue-collar,single,no,yes,no,5,0,0
163,31,blue-collar,single,no,yes,no,1,0,0
164,22,services,single,no,no,no,1,0,0
165,47,management,married,no,no,no,2,0,0
166,35,management,married,no,yes,yes,6,0,0
167,44,entrepreneur,married,no,yes,no,1,1,0
168,47,unknown,married,no,no,no,2,0,0
169,31,blue-collar,single,no,no,no,1,0,0
170,39,technician,married,no,no,no,1,1,0
171,41,admin.,married,no,yes,no,1,0,0
172,36,services,married,no,yes,no,3,0,0
173,39,entrepreneur,divorced,no,no,no,3,0,0
174,58,technician,divorced,no,yes,no,2,0,0
175,31,management,married,no,no,no,5,0,0
176,46,technician,married,no,yes,no,2,0,0
177,34,technician,single,no,yes,no,5,0,0
178,32,services,married,no,yes,no,9,0,0
179,53,technician,married,no,yes,no,1,0,0
180,57,retired,single,no,yes,no,1,0,0
181,52,self-employed,divorced,no,no,yes,4,0,0
182,36,housemaid,married,no,no,no,1,0,0
183,54,blue-collar,married,no,no,no,1,1,0
184,23,entrepreneur,married,no,no,yes,4,0,0
185,34,blue-collar,married,no,yes,no,1,0,0
186,31,technician,single,no,no,no,4,0,0
187,54,services,married,no,yes,no,1,0,0
188,79,retired,divorced,no,no,no,2,0,0
189,56,management,married,no,no,no,1,0,0
190,35,management,married,no,yes,no,2,0,0
191,33,services,married,no,yes,no,1,0,0
192,33,services,single,no,yes,no,1,1,0
193,47,unemployed,married,no,no,no,1,0,0
194,34,technician,married,no,yes,yes,1,0,0
195,45,blue-collar,married,no,yes,no,2,0,0
196,34,technician,married,no,yes,no,1,0,0
197,43,unemployed,married,no,yes,no,2,0,0
198,33,blue-collar,single,no,no,no,1,0,0
199,45,admin.,married,no,no,no,3,0,0
200,33,technician,single,no,no,no,3,0,0
201,31,blue-collar,married,no,yes,no,2,0,0
202,30,technician,single,no,yes,no,1,0,0
203,42,housemaid,married,yes,no,no,1,0,0
204,28,student,single,no,no,no,1,1,0
205,34,admin.,divorced,no,yes,no,1,0,0
206,34,blue-collar,single,no,yes,no,3,0,0
207,44,blue-collar,married,no,no,no,1,0,0
208,28,management,single,no,yes,no,1,0,0
209,44,blue-collar,married,no,yes,no,3,0,0
210,30,management,single,no,no,no,7,0,0
211,34,management,single,no,yes,no,7,0,0
212,80,retired,divorced,no,no,no,8,0,0
213,35,management,single,no,no,no,1,1,0
214,35,technician,married,no,no,no,2,0,0
215,51,unemployed,married,no,no,yes,7,0,0
216,52,blue-collar,married,no,no,no,4,0,0
217,32,blue-collar,single,no,yes,no,2,0,0
218,41,technician,married,no,yes,yes,3,1,0
219,33,self-employed,married,no,yes,no,2,0,0
220,36,blue-collar,married,no,yes,no,2,0,0
221,35,blue-collar,divorced,no,yes,no,1,0,0
222,51,housemaid,married,no,yes,yes,1,0,0
223,39,blue-collar,single,no,yes,no,2,0,0
224,46,services,married,no,no,no,3,0,0
225,40,blue-collar,married,no,yes,no,2,0,0
226,56,management,married,no,no,no,2,0,0
227,55,retired,married,no,no,yes,2,0,0
228,42,management,single,no,yes,no,2,0,0
229,59,housemaid,married,no,no,no,2,0,0
230,35,blue-collar,married,no,yes,no,2,0,0
231,40,technician,married,no,yes,no,3,0,0
232,37,services,married,no,yes,no,1,0,0
233,52,blue-collar,married,no,yes,no,1,0,0
234,35,blue-collar,married,no,yes,no,1,0,0
235,46,blue-collar,married,no,yes,no,2,0,0
236,34,housemaid,married,no,no,no,4,0,0
237,27,management,single,no,no,yes,7,0,0
238,45,admin.,married,no,yes,no,1,0,0
239,29,services,single,no,no,yes,8,0,0
240,31,technician,single,no,no,no,2,0,0
241,33,blue-collar,married,no,yes,no,2,2,0
242,56,management,divorced,no,no,no,3,0,0
243,25,services,single,no,yes,no,1,0,0
244,40,management,divorced,no,yes,no,4,0,0
245,48,blue-collar,married,no,no,no,5,0,0
246,34,technician,divorced,no,no,no,4,0,0
247,59,retired,married,no,no,no,1,0,0
248,57,blue-collar,married,no,no,no,1,0,0
249,45,blue-collar,married,no,no,no,4,0,0
250,33,management,married,no,yes,yes,2,2,0
251,45,blue-collar,married,no,yes,yes,1,0,0
252,32,unemployed,married,yes,yes,no,2,0,0
253,34,blue-collar,single,no,no,no,1,0,0
254,31,blue-collar,married,no,yes,no,2,1,0
255,32,admin.,single,no,yes,no,1,0,0
256,58,blue-collar,divorced,no,no,no,2,2,0
257,43,admin.,married,no,no,no,4,0,0
258,48,blue-collar,single,no,no,no,2,0,0
259,41,management,married,no,no,no,8,0,0
260,38,technician,single,no,yes,no,4,1,0
261,31,management,married,no,yes,no,1,0,0
262,56,retired,married,no,yes,no,1,0,0
263,32,admin.,married,no,yes,no,2,0,0
264,49,blue-collar,married,no,no,no,6,0,0
265,58,management,divorced,no,yes,no,1,0,0
266,46,admin.,divorced,no,yes,no,1,1,0
267,51,services,married,no,yes,no,2,0,0
268,41,blue-collar,married,no,yes,yes,4,0,0
269,36,admin.,single,no,yes,yes,1,0,0
270,33,blue-collar,married,no,yes,no,1,0,0
271,35,management,divorced,no,yes,no,4,4,0
272,35,services,single,no,yes,no,1,0,0
273,49,services,married,no,yes,yes,4,0,0
274,50,technician,single,no,no,no,3,0,0
275,42,technician,divorced,no,yes,no,6,0,0
276,33,management,married,no,yes,no,2,2,0
277,38,blue-collar,married,no,yes,no,6,0,0
278,37,management,single,no,yes,no,2,0,0
279,42,self-employed,married,no,no,no,2,0,0
280,41,technician,married,no,yes,no,1,1,0
281,56,services,divorced,no,no,no,1,1,0
282,32,blue-collar,married,yes,yes,no,1,0,0
283,45,blue-collar,divorced,no,no,yes,1,0,0
284,34,management,married,no,no,yes,2,0,0
285,75,retired,divorced,no,no,no,1,0,0
286,38,blue-collar,married,no,yes,no,1,1,0
287,58,retired,divorced,no,no,yes,2,0,0
288,57,technician,married,no,no,no,4,0,0
289,25,management,single,no,no,no,1,0,0
290,39,management,single,no,yes,no,3,0,0
291,28,blue-collar,single,no,yes,no,4,0,0
292,31,technician,single,no,yes,yes,5,0,0
293,41,admin.,married,no,yes,no,2,1,0
294,41,unemployed,married,no,no,no,3,0,0
295,33,management,single,no,yes,no,3,3,0
296,38,blue-collar,single,no,yes,no,7,0,0
297,49,blue-collar,married,no,no,no,2,0,0
298,29,services,single,no,no,no,1,1,0
299,41,blue-collar,married,no,yes,no,2,0,0
300,55,management,divorced,no,yes,no,1,0,0
301,37,blue-collar,divorced,no,yes,no,2,0,0
302,36,unemployed,married,no,yes,yes,2,0,0
303,66,retired,married,no,no,no,2,0,0
304,56,management,married,no,yes,no,2,0,0
305,35,self-employed,married,no,yes,no,4,0,0
306,38,blue-collar,married,no,yes,no,1,0,0
307,43,technician,divorced,no,no,no,2,0,0
308,36,management,married,no,no,no,3,0,0
309,40,technician,married,no,yes,no,1,0,0
310,29,management,single,no,yes,no,1,1,0
311,26,admin.,single,no,no,no,1,1,0
312,54,management,married,no,no,no,5,0,0
313,45,management,married,no,no,no,4,0,0
314,54,self-employed,married,no,yes,no,1,1,0
315,50,blue-collar,married,no,yes,no,6,1,0
316,29,blue-collar,single,no,yes,no,4,0,0
317,28,admin.,single,no,yes,no,7,0,0
318,35,blue-collar,married,no,yes,no,1,0,0
319,50,management,married,no,no,yes,3,0,0
320,39,management,single,no,yes,yes,4,0,0
321,52,management,single,no,no,no,1,0,0
322,35,services,divorced,no,no,no,5,0,0
323,34,management,married,no,yes,no,1,0,0
324,50,admin.,single,no,yes,no,2,0,0
325,46,self-employed,married,no,yes,no,1,0,0
326,31,services,single,no,yes,no,1,1,0
327,32,management,divorced,no,yes,no,4,0,0
328,57,technician,married,no,yes,no,4,0,0
329,44,services,married,no,yes,no,8,0,0
330,36,admin.,divorced,no,no,no,3,0,0
331,30,admin.,married,no,no,no,2,0,0
332,31,management,divorced,no,no,no,2,0,0
333,40,technician,married,no,no,no,2,0,0
334,46,self-employed,married,no,no,no,4,0,0
335,31,services,married,yes,no,yes,1,0,0
336,25,self-employed,married,no,yes,no,2,0,0
337,54,blue-collar,married,no,no,no,2,0,0
338,24,technician,single,no,no,no,1,0,0
339,33,unknown,single,no,no,no,1,0,0
340,36,self-employed,married,no,no,no,4,0,0
341,46,technician,married,no,no,no,1,0,0
342,38,blue-collar,married,no,yes,no,4,0,0
343,35,admin.,married,no,yes,yes,1,0,0
344,58,technician,married,no,yes,no,1,0,0
345,27,entrepreneur,married,no,yes,no,1,0,0
346,31,blue-collar,single,no,no,no,1,0,0
347,55,admin.,married,no,no,no,1,0,0
348,36,management,divorced,no,yes,no,4,0,0
349,33,blue-collar,divorced,no,yes,no,2,0,0
350,42,blue-collar,single,no,no,no,2,0,0
351,30,entrepreneur,married,no,yes,yes,2,0,0
352,51,housemaid,married,no,no,no,11,0,0
353,34,admin.,divorced,no,yes,no,1,0,0
354,37,blue-collar,married,no,yes,yes,7,5,0
355,52,admin.,divorced,no,yes,no,1,0,0
356,47,management,married,no,yes,no,1,0,0
357,43,blue-collar,divorced,no,no,yes,4,0,0
358,45,admin.,married,no,yes,no,16,0,0
359,60,unknown,married,no,no,no,3,0,0
360,30,management,married,no,no,no,2,0,0
361,54,unemployed,married,no,yes,no,1,0,0
362,49,admin.,married,no,no,no,2,0,0
363,54,services,married,no,yes,no,3,0,0
364,61,blue-collar,married,no,no,no,9,0,0
365,28,admin.,single,no,no,no,2,0,0
366,36,management,married,no,no,no,2,0,0
367,56,self-employed,married,no,no,no,1,0,0
368,49,services,divorced,no,no,yes,33,0,0
369,36,self-employed,divorced,no,no,no,2,0,0
370,45,admin.,married,no,yes,no,1,0,0
371,55,services,married,no,yes,no,2,0,0
372,44,blue-collar,married,no,no,yes,2,0,0
373,56,retired,divorced,no,yes,no,4,3,0
374,31,technician,single,no,yes,yes,3,0,0
375,34,management,married,no,yes,no,1,0,0
376,32,management,single,no,no,no,2,0,0
377,29,admin.,married,no,yes,no,2,0,0
378,48,admin.,married,no,no,no,5,0,0
379,24,blue-collar,married,no,yes,no,1,0,0
380,50,unemployed,single,no,no,no,3,0,0
381,42,services,married,no,yes,no,2,2,0
382,38,technician,married,no,yes,yes,4,0,0
383,35,entrepreneur,married,no,no,no,1,1,0
384,25,services,married,no,yes,no,1,0,0
385,36,technician,single,no,yes,no,1,0,0
386,39,management,single,no,no,no,2,0,0
387,20,student,single,no,no,no,2,0,0
388,39,admin.,married,no,no,no,1,1,0
389,37,admin.,single,no,yes,no,1,0,0
390,34,blue-collar,married,no,no,no,4,0,0
391,31,housemaid,single,no,no,no,3,0,0
392,39,blue-collar,married,no,no,no,2,0,0
393,58,services,divorced,no,no,no,2,0,0
394,39,blue-collar,married,no,yes,no,1,0,0
395,60,self-employed,married,no,yes,no,3,0,0
396,46,unknown,married,no,no,no,9,0,0
397,26,management,single,no,no,no,1,0,0
398,48,admin.,married,no,yes,no,1,0,0
399,46,technician,married,no,yes,no,4,4,0
400,41,technician,married,no,no,no,5,0,0
401,28,blue-collar,single,yes,no,yes,1,0,0
402,45,blue-collar,married,no,yes,yes,3,0,0
403,43,blue-collar,single,no,yes,no,17,0,0
404,40,unemployed,married,no,yes,no,4,0,0
405,28,services,single,no,no,yes,1,0,0
406,34,management,divorced,no,yes,no,2,0,0
407,21,student,single,no,no,no,1,0,0
408,56,housemaid,married,no,no,no,10,0,0
409,44,blue-collar,married,no,yes,no,5,0,0
410,26,services,single,no,yes,yes,5,0,0
411,40,management,divorced,no,no,no,5,0,0
412,32,services,single,no,no,no,1,1,0
413,50,management,married,no,yes,no,2,2,0
414,39,management,single,no,no,no,2,0,0
415,40,admin.,divorced,no,yes,no,2,0,0
416,34,technician,single,no,yes,no,3,0,0
417,48,admin.,married,no,no,yes,2,0,0
418,37,housemaid,single,no,no,no,1,1,0
419,81,retired,divorced,no,no,no,1,0,0
420,38,student,single,no,no,no,3,3,0
421,58,housemaid,married,no,no,no,4,0,0
422,45,services,married,no,yes,yes,7,0,0
423,34,blue-collar,single,no,yes,no,1,0,0
424,31,technician,single,no,yes,no,1,1,0
425,45,admin.,married,no,yes,yes,3,0,0
426,28,student,single,no,no,no,2,0,0
427,44,technician,married,no,yes,yes,6,2,0
428,35,admin.,single,no,no,no,1,0,0
429,36,unknown,married,no,no,no,2,0,0
430,28,admin.,single,no,no,no,1,0,0
