idx,good_or_not,quality,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
idx_10000,good,6,8.8,0.45,3.0,1.001,170.0,45.0,0.045,20.7,0.36,0.27,7.0
idx_10001,good,6,9.5,0.49,3.3,0.9940000000000001,132.0,14.0,0.049,1.6,0.34,0.3,6.3
idx_10002,good,6,10.1,0.44,3.26,0.9951,97.0,30.0,0.05,6.9,0.4,0.28,8.1
idx_10003,good,6,9.9,0.4,3.19,0.9956,186.0,47.0,0.057999999999999996,8.5,0.32,0.23,7.2
idx_10005,good,6,10.1,0.44,3.26,0.9951,97.0,30.0,0.05,6.9,0.4,0.28,8.1
idx_10006,good,6,9.6,0.47,3.18,0.9949,136.0,30.0,0.045,7.0,0.16,0.32,6.2
idx_10007,good,6,8.8,0.45,3.0,1.001,170.0,45.0,0.045,20.7,0.36,0.27,7.0
idx_10008,good,6,9.5,0.49,3.3,0.9940000000000001,132.0,14.0,0.049,1.6,0.34,0.3,6.3
idx_10009,good,6,11.0,0.45,3.22,0.9938,129.0,28.0,0.044000000000000004,1.5,0.43,0.22,8.1
idx_10010,not,5,12.0,0.56,2.99,0.9908,63.0,11.0,0.033,1.45,0.41,0.27,8.1
idx_10012,not,5,10.8,0.63,3.18,0.992,75.0,16.0,0.04,1.2,0.37,0.18,7.9
idx_10013,good,7,12.4,0.52,3.54,0.9912,143.0,48.0,0.044000000000000004,1.5,0.4,0.16,6.6
idx_10014,not,5,9.7,0.67,2.98,1.0002,172.0,41.0,0.04,19.25,0.62,0.42,8.3
idx_10015,good,7,11.4,0.55,3.25,0.9914,112.0,28.0,0.032,1.5,0.38,0.17,6.6
idx_10016,good,6,9.6,0.36,3.24,0.9928,99.0,30.0,0.046,1.1,0.04,0.48,6.3
idx_10017,good,8,12.8,0.39,3.33,0.9892,75.0,29.0,0.028999999999999998,1.2,0.48,0.66,6.2
idx_10018,good,6,11.3,0.53,3.12,0.9917,171.0,17.0,0.033,1.1,0.42,0.34,7.4
idx_10019,not,5,9.5,0.5,3.22,0.9955,133.0,34.0,0.044000000000000004,7.5,0.14,0.31,6.5
idx_10020,good,8,12.8,0.39,3.33,0.9892,75.0,29.0,0.028999999999999998,1.2,0.48,0.66,6.2
idx_10021,good,7,11.0,0.35,3.17,0.9912,102.0,19.0,0.038,2.9,0.38,0.31,6.4
