Brand,Name,Boarding_time,Km,Discharge,Sec_price,New_price
奥迪,奥迪A6L 2006款 2.4 CVT 舒适型,2006年8月,9.00万公里,国3,6.9,50.89万
奥迪,奥迪A6L 2007款 2.4 CVT 舒适型,2007年1月,8.00万公里,国4,8.88,50.89万
奥迪,奥迪A6L 2004款 2.4L 技术领先型,2005年5月,15.00万公里,国2,3.82,54.24万
奥迪,奥迪A8L 2013款 45 TFSI quattro舒适型,2013年10月,4.80万公里,欧4,44.8,101.06万
奥迪,奥迪A6L 2014款 30 FSI 豪华型,2014年9月,0.81万公里,"国4,国5",33.19,54.99万
奥迪,奥迪R8 2014款 Spyder 5.2 FSI quattro,未上牌,0.03万公里,"国4,京5",169.0,273.86万
奥迪,奥迪A6 2013款 40 hybrid,2014年8月,1.60万公里,"国4,京5",36.99,69.25万
奥迪,奥迪S6 2013款 4.0TFSI,2014年9月,1.60万公里,欧5,59.99,114.84万
奥迪,奥迪A7 2011款 2.8 自动 进取型,2013年7月,3.00万公里,欧4,37.99,79.02万
奥迪,奥迪RS 5 2012款 4.2L 双离合 quattro Coupe,2013年5月,7.00万公里,"国4,国5",56.8,130.04万
奥迪,奥迪R8 2016款 V10 Coupe Performance,2017年8月,0.24万公里,国5,229.9,275.49万
奥迪,奥迪Q7 2016款 45 TFSI quattro S line 运动型,2017年1月,0.03万公里,国5,74.98,98.76万
奥迪,奥迪A5 2014款 Sportback 45 TFSI,2015年12月,0.37万公里,"欧4,OBD",32.98,54.25万
奥迪,奥迪Q3 2013款 35TFSI quattro 技术型,2014年9月,3.87万公里,国4,19.98,36.23万
奥迪,奥迪A4L 2013款 35 TFSI 自动 舒适型,2014年7月,4.70万公里,国4,21.58,35.81万
奥迪,奥迪Q5 2013款 40TFSI 舒适型,2014年9月,5.50万公里,国4,30.58,52.31万
奥迪,奥迪A6L 2005款 4.2FSI quattro至尊旗舰型,2006年4月,16.20万公里,国2,10.58,92.95万
奥迪,奥迪A4L 2013款 35 TFSI 自动 舒适型,2014年1月,9.00万公里,国4,21.38,35.81万
奥迪,奥迪Q3 2013款 35TFSI 舒适型,2014年3月,7.49万公里,国4,20.58,34.30万
奥迪,奥迪A6L 2008款 2.4舒适型,2008年11月,11.40万公里,国4,13.0,50.89万
奥迪,奥迪A6L 2007款 3.2FSI quattro领先尊享型,2008年1月,8.80万公里,国4,9.88,78.29万
奥迪,奥迪R8 2011款 Coupe V10 5.2L FSI quattro,2011年10月,3.00万公里,欧5,97.8,252.70万
奥迪,奥迪R8 2010款 5.2 FSI quattro,2011年5月,3.00万公里,欧5,98.8,252.70万
奥迪,奥迪A6L 2014款 30 FSI 豪华型,2014年11月,3.52万公里,"国4,国5",31.0,54.99万
奥迪,奥迪A6L 2009款 2.4 舒适型,2009年8月,10.00万公里,国4,15.48,50.89万
奥迪,奥迪A1 2014款 Sportback 30TFSI 时尚型,2015年10月,3.00万公里,"国4,国5",14.48,22.77万
奥迪,奥迪A5 2010款 Sportback 2.0T 技术型,2011年2月,10.00万公里,欧4,20.3,57.31万
奥迪,奥迪Q5 2012款 2.0 TFSI 技术型,2012年1月,13.54万公里,国4,21.8,46.41万
奥迪,奥迪A4L 2010款 2.0TFSI 舒适型,2011年1月,6.30万公里,国4,12.98,35.81万
奥迪,奥迪A6L 2012款 30 FSI 技术型,2013年1月,5.60万公里,国5,27.38,46.98万
奥迪,奥迪A4L 2016款 35 TFSI 自动 运动型,2016年6月,0.80万公里,"国4,国5",25.68,37.88万
奥迪,奥迪A4L 2013款 35 TFSI 自动 舒适型,2013年4月,6.50万公里,国4,20.48,35.81万
奥迪,奥迪Q3 2016款 35 TFSI 风尚型,2016年5月,0.34万公里,"国4,国5",26.55,32.98万
奥迪,奥迪RS 5 2012款 4.2L 双离合 quattro Coupe,2015年1月,1.60万公里,"国4,国5",60.8,130.04万
奥迪,奥迪RS 5 2012款 4.2L 双离合 quattro Coupe,2015年1月,1.60万公里,"国4,国5",60.8,130.04万
奥迪,奥迪A6L 2011款 2.0 TFSI 舒适型(自动),2010年8月,8.00万公里,国4,15.3,45.07万
奥迪,奥迪A6L 2009款 2.4 豪华型,2009年12月,8.00万公里,国4,14.8,57.51万
奥迪,奥迪A3 2015款 Sportback 35 TFSI 纪念舒享版,2015年6月,2.00万公里,"国4,京5",17.0,26.03万
奥迪,奥迪A4 2007款 1.8T CVT 舒适型,2007年8月,7.60万公里,国3,6.2,32.93万
奥迪,奥迪A6L 2009款 2.4 豪华型,2009年8月,10.00万公里,国4,13.8,57.51万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 豪华型,2011年2月,5.80万公里,国4,16.28,43.31万
奥迪,奥迪A4 2005款 1.8T自动基本型,2005年2月,10.70万公里,国2,4.29,32.93万
奥迪,奥迪A6L 2011款 2.4 技术型,2011年1月,7.30万公里,国4,17.6,47.87万
奥迪,奥迪A6L 2009款 2.8 FSI 豪华型,2009年6月,9.00万公里,国4,15.9,67.10万
奥迪,奥迪A4L 2017款 45 TFSI quattro 风尚型,2016年9月,0.22万公里,国5,33.8,44.37万
奥迪,奥迪Q5 2013款 40TFSI 豪华型,2013年6月,6.00万公里,国4,28.8,61.62万
奥迪,奥迪A4L 2009款 2.0 TFSI 标准型,2009年3月,12.00万公里,国4,10.98,32.43万
奥迪,奥迪A6L 2006款 2.4 CVT 技术型,2006年3月,8.60万公里,国3,7.18,46.08万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 豪华型,2010年11月,6.20万公里,国4,13.8,43.31万
奥迪,奥迪A6L 2006款 3.0自动尊贵型,2006年11月,9.90万公里,国2,9.58,70.53万
奥迪,奥迪Q3 2013款 35TFSI quattro 豪华型,2013年8月,3.00万公里,国4,22.8,43.07万
奥迪,奥迪A8L 2006款 6.0 W12 quattro 旗舰型,2006年9月,15.00万公里,"欧4,OBD",16.88,210.04万
奥迪,奥迪Q7 2016款 40 TFSI quattro S line 运动型,2016年3月,0.13万公里,国5,66.8,85.62万
奥迪,奥迪Q7 2012款 3.0 TDI quattro 专享型,2012年6月,8.00万公里,欧4,37.98,113.52万
奥迪,奥迪A7 2017款 50 TFSI quattro 舒适型,2016年11月,0.07万公里,国5,68.8,88.79万
奥迪,奥迪A6L 2011款 2.0 TFSI 舒适型(自动),2011年10月,6.00万公里,国4,18.5,45.07万
奥迪,奥迪A8L 2003款 4.2 FSI quattro至尊型,2006年5月,13.00万公里,--,15.98,143.28万
奥迪,奥迪TT 2010款 典藏版 2.0TFSI,2009年9月,4.00万公里,欧4,19.33,58.51万
奥迪,奥迪RS 5 2013款 4.2L 双离合 quattro Cabriolet,2017年6月,0.11万公里,"国4,国5",75.9,139.81万
奥迪,奥迪R8 2014款 Spyder 4.2 FSI quattro,2015年4月,0.90万公里,"国4,京5",152.8,215.79万
奥迪,奥迪A4L 2015款 30 TFSI 自动 舒适型,2014年11月,4.00万公里,"国4,国5",16.99,31.59万
奥迪,奥迪A6L 2006款 2.4 CVT 舒适型,2006年1月,13.00万公里,国3,6.88,50.89万
奥迪,奥迪A6L 2010款 2.4舒适型,2010年8月,9.00万公里,国4,16.18,51.65万
奥迪,奥迪A5 2016款 Coupe 45 TFSI quattro,2017年5月,0.20万公里,"欧4,OBD",39.5,62.74万
奥迪,奥迪A8L 2016款 45 TFSI quattro 舒适型,2017年1月,0.10万公里,国4,71.8,100.60万
奥迪,奥迪A4L 2017款 40 TFSI 运动型,2016年10月,0.12万公里,国5,30.5,40.47万
奥迪,奥迪A6L 2012款 30 FSI 技术型,2012年1月,6.80万公里,国5,24.18,46.98万
奥迪,奥迪Q7 2012款 3.0 TDI quattro 专享型,2012年6月,8.00万公里,欧4,36.8,113.52万
奥迪,奥迪Q5 2013款 40TFSI 技术型,2014年5月,3.70万公里,国4,27.8,46.41万
奥迪,奥迪Q5 2013款 40TFSI 进取型,2013年8月,4.00万公里,国4,28.0,41.64万
奥迪,奥迪A6L 2010款 2.4舒适型,2010年10月,9.00万公里,国4,15.5,51.65万
奥迪,奥迪A6L 2011款 2.0 TFSI 舒适型(自动),2011年3月,7.00万公里,国4,15.73,45.07万
奥迪,奥迪R8 2010款 5.2 FSI quattro,2012年3月,2.70万公里,欧5,109.8,252.70万
奥迪,奥迪A5 2012款 Coupe 2.0T CVT,2012年9月,4.60万公里,欧4,25.88,56.99万
奥迪,奥迪Q3 2013款 35TFSI 舒适型,2014年7月,3.00万公里,国4,19.77,34.30万
